block,utxos,addresses
1000,129,7
2000,26,7
3000,22,7
4000,961,9
5000,940,10
6000,940,11
7000,936,11
8000,929,11
9000,1007,12
10000,972,12
11000,956,12
12000,942,12
13000,929,12
14000,930,11
15000,940,11
16000,931,11
17000,561,20
18000,1864,23
19000,4936,28
20000,5795,31
21000,7325,39
22000,8136,44
23000,9055,47
24000,9530,59
25000,7507,87
26000,7907,109
27000,7825,128
28000,8012,126
29000,8282,139
30000,8748,136
31000,8897,146
32000,9137,154
33000,9378,162
34000,10120,177
35000,10957,181
36000,11130,178
37000,11672,194
38000,11946,194
39000,11528,204
40000,10605,248
41000,9701,282
42000,10154,318
43000,10361,312
44000,10937,330
45000,11396,334
46000,13585,390
47000,17323,443
48000,18553,483
49000,19951,547
50000,20570,574
51000,21523,602
52000,23760,608
53000,24755,596
54000,24889,596
55000,23448,641
56000,27670,697
57000,29428,739
58000,30356,750
59000,33060,785
60000,32702,810
61000,36937,833
62000,39265,821
63000,40121,828
64000,40136,829
65000,39591,840
66000,39693,861
67000,41371,853
68000,42300,851
69000,43373,858
70000,46016,876
71000,47452,908
72000,48610,903
73000,49398,917
74000,49808,911
75000,51229,922
76000,52680,922
77000,52261,932
78000,52537,939
79000,53598,957
80000,54165,981
81000,56090,994
82000,56512,1015
83000,57279,1025
84000,57662,1033
85000,57820,1028
86000,58204,1003
87000,58560,1009
88000,56112,1025
89000,56578,1015
90000,57084,1025
91000,56754,1038
92000,57503,1026
93000,52765,1019
94000,52132,1036
95000,53591,1056
96000,54301,1063
97000,55230,1082
98000,56650,1100
99000,57000,1085
100000,57114,1086
101000,56049,1112
102000,56212,1122
103000,56747,1125
104000,57457,1112
105000,57731,1115
106000,58498,1114
107000,59101,1145
108000,59947,1153
109000,60536,1167
110000,61847,1157
111000,62431,1174
112000,61877,1164
113000,63925,1188
114000,64424,1183
115000,64908,1189
116000,64434,1186
117000,64931,1200
118000,66132,1208
119000,66887,1214
120000,68263,1237
121000,68861,1241
122000,70451,1252
123000,70669,1254
124000,70865,1248
125000,72820,1266
126000,71984,1268
127000,74972,1290
128000,75706,1301
129000,75885,1309
130000,75848,1314
131000,79380,1313
132000,78149,1311
133000,79868,1337
134000,81444,1333
135000,82017,1344
136000,84035,1360
137000,84965,1370
138000,83950,1377
139000,83186,1373
140000,83669,1386
141000,83904,1401
142000,84115,1426
143000,85084,1414
144000,84103,1419
145000,84136,1430
146000,85004,1444
147000,85545,1469
148000,85908,1460
149000,86474,1466
150000,86987,1483
151000,87649,1487
152000,88518,1511
153000,88876,1538
154000,89644,1579
155000,90429,1607
156000,91295,1617
157000,91761,1636
158000,92262,1633
159000,92377,1655
160000,93916,1657
161000,94569,1680
162000,95230,1680
