time,pow_blocks,pos_blocks,fpos_blocks,all_blocks
2017-03-09 00:00:21,689,0,0,689
2017-03-10 01:44:18,457,3,0,460
2017-03-11 00:00:38,429,125,0,554
2017-03-12 00:01:09,710,133,43,886
2017-03-13 00:00:01,667,168,36,871
2017-03-14 00:01:28,678,226,219,1123
2017-03-15 00:00:22,712,197,226,1135
2017-03-16 00:00:05,702,192,213,1107
2017-03-17 00:00:22,698,178,221,1097
2017-03-18 00:01:43,696,165,232,1093
2017-03-19 00:02:57,698,193,218,1109
2017-03-20 00:00:18,703,178,235,1116
2017-03-21 00:01:32,692,188,216,1096
2017-03-22 00:02:15,703,177,236,1116
2017-03-23 00:00:58,691,185,213,1089
2017-03-24 00:00:16,696,183,213,1092
2017-03-25 00:01:24,706,180,226,1112
2017-03-26 00:02:10,700,198,237,1135
2017-03-27 00:00:50,720,186,232,1138
2017-03-28 00:00:23,693,207,246,1146
2017-03-29 00:01:11,710,188,259,1157
2017-03-30 00:00:38,699,199,241,1139
2017-03-31 00:00:55,698,199,251,1148
2017-04-01 00:01:39,739,189,253,1181
2017-04-02 00:00:54,673,187,242,1102
2017-04-03 00:00:59,686,192,174,1052
2017-04-04 00:00:40,525,195,255,975
2017-04-05 00:07:47,599,187,259,1045
2017-04-06 00:00:57,633,189,252,1074
2017-04-07 00:00:08,533,203,254,990
2017-04-08 00:10:26,471,192,265,928
2017-04-09 00:00:26,314,195,270,779
2017-04-10 00:09:04,0,203,300,503
2017-04-11 00:05:56,168,199,292,659
2017-04-12 00:01:18,461,194,264,919
2017-04-13 00:00:53,610,184,261,1055
2017-04-14 00:06:10,102,188,248,538
2017-04-15 00:00:01,610,191,244,1045
2017-04-16 00:00:02,631,188,256,1075
2017-04-17 00:00:41,695,185,241,1121
2017-04-18 00:00:55,679,191,238,1108
2017-04-19 00:00:59,655,191,248,1094
2017-04-20 00:00:39,695,184,265,1144
2017-04-21 00:02:55,541,185,273,999
2017-04-22 00:03:55,483,186,250,919
2017-04-23 00:01:10,676,193,253,1122
2017-04-24 00:03:08,678,187,264,1129
2017-04-25 00:01:10,675,186,241,1102
2017-04-26 00:00:56,527,195,242,964
2017-04-27 00:02:43,644,188,245,1077
2017-04-28 00:00:26,746,191,243,1180
2017-04-29 00:00:05,668,187,240,1095
2017-04-30 00:06:40,686,187,237,1110
2017-05-01 00:01:31,707,192,247,1146
2017-05-02 00:03:18,681,189,238,1108
2017-05-03 00:01:47,717,189,254,1160
2017-05-04 00:05:36,685,184,246,1115
2017-05-05 00:00:24,678,184,252,1114
2017-05-06 00:02:55,694,191,254,1139
2017-05-07 00:00:21,705,190,251,1146
2017-05-08 00:00:06,698,181,239,1118
2017-05-09 00:00:56,696,183,251,1130
2017-05-10 00:00:14,694,178,239,1111
2017-05-11 00:02:47,702,183,236,1121
2017-05-12 00:00:01,688,193,226,1107
2017-05-13 00:00:38,713,186,249,1148
2017-05-14 00:05:31,692,187,254,1133
2017-05-15 00:00:16,715,179,252,1146
2017-05-16 00:01:13,686,189,247,1122
2017-05-17 00:00:09,697,189,237,1123
2017-05-18 00:01:23,696,184,254,1134
2017-05-19 00:00:31,682,213,262,1157
2017-05-20 00:00:30,700,190,271,1161
2017-05-21 00:00:03,705,185,259,1149
2017-05-22 00:00:12,694,185,241,1120
2017-05-23 00:02:27,690,193,246,1129
2017-05-24 00:00:26,690,182,259,1131
2017-05-25 00:00:44,677,194,283,1154
2017-05-26 00:05:29,692,187,265,1144
2017-05-27 00:01:02,694,184,246,1124
2017-05-28 00:00:11,700,186,258,1144
2017-05-29 00:00:15,702,200,263,1165
2017-05-30 00:00:10,688,188,260,1136
2017-05-31 00:04:50,679,196,262,1137
2017-06-01 00:08:55,680,182,270,1132
2017-06-02 00:01:41,668,185,261,1114
2017-06-03 00:24:32,658,201,252,1111
2017-06-04 00:06:45,578,177,245,1000
2017-06-05 00:02:42,471,194,259,924
2017-06-06 00:00:18,558,185,249,992
2017-06-07 00:01:45,575,193,263,1031
2017-06-08 00:00:06,611,184,271,1066
2017-06-09 00:03:00,491,182,254,927
2017-06-10 00:01:57,638,192,255,1085
2017-06-11 00:00:50,674,180,276,1130
2017-06-12 00:01:46,624,192,268,1084
2017-06-13 00:00:39,601,192,262,1055
2017-06-14 00:00:30,542,182,279,1003
2017-06-15 00:03:51,593,177,266,1036
2017-06-16 00:00:13,445,183,261,889
2017-06-17 00:05:06,486,179,262,927
2017-06-18 00:06:10,461,190,242,893
2017-06-19 00:01:04,579,188,248,1015
2017-06-20 00:00:02,546,185,255,986
2017-06-21 00:05:37,629,202,253,1084
2017-06-22 00:00:30,638,183,270,1091
2017-06-23 00:00:39,657,188,253,1098
2017-06-24 00:03:48,560,197,256,1013
2017-06-25 00:00:52,333,184,263,780
2017-06-26 00:06:30,524,192,252,968
2017-06-27 00:00:16,543,181,251,975
2017-06-28 00:00:40,544,190,243,977
2017-06-29 00:00:01,534,196,256,986
2017-06-30 00:02:51,612,186,260,1058
2017-07-01 00:06:53,541,190,269,1000
2017-07-02 00:00:15,567,189,258,1014
2017-07-03 00:00:14,573,198,230,1001
2017-07-04 00:02:43,465,187,263,915
2017-07-05 00:01:27,529,191,261,981
2017-07-06 00:03:37,528,193,259,980
2017-07-07 00:00:40,338,181,258,777
2017-07-08 00:00:11,571,193,255,1019
2017-07-09 00:00:06,545,192,271,1008
2017-07-10 00:01:42,562,191,260,1013
2017-07-11 00:01:09,695,190,261,1146
2017-07-12 00:08:24,618,196,262,1076
2017-07-13 00:00:58,533,198,250,981
2017-07-14 00:01:58,604,183,265,1052
2017-07-15 00:05:07,483,183,272,938
2017-07-16 00:00:23,433,201,267,901
2017-07-17 00:11:26,375,198,268,841
2017-07-18 00:02:46,307,189,270,766
2017-07-19 00:07:14,484,195,270,949
2017-07-20 00:02:20,612,188,261,1061
2017-07-21 00:09:25,379,200,269,848
2017-07-22 00:04:44,590,194,260,1044
2017-07-23 00:08:09,621,207,251,1079
2017-07-24 00:00:34,537,194,241,972
2017-07-25 00:00:00,552,191,264,1007
2017-07-26 00:13:36,535,252,258,1045
2017-07-27 00:00:32,492,191,269,952
2017-07-28 00:01:08,642,191,266,1099
2017-07-29 00:01:38,632,197,261,1090
2017-07-30 00:04:37,625,188,258,1071
2017-07-31 00:08:15,602,194,275,1071
2017-08-01 00:07:42,609,185,258,1052
2017-08-02 00:02:17,589,206,254,1049
2017-08-03 00:03:23,707,190,276,1173
2017-08-04 00:10:27,665,194,257,1116
2017-08-05 00:09:42,610,200,274,1084
2017-08-06 00:01:06,643,182,261,1086
2017-08-07 00:00:26,670,188,260,1118
2017-08-08 00:00:14,643,190,247,1080
2017-08-09 00:01:13,594,239,260,1093
2017-08-10 00:02:10,663,181,260,1104
2017-08-11 00:03:58,647,197,262,1106
2017-08-12 00:05:50,632,190,252,1074
2017-08-13 00:03:35,660,188,249,1097
2017-08-14 00:00:09,652,203,255,1110
2017-08-15 00:04:03,659,190,260,1109
2017-08-16 00:03:48,642,190,256,1088
2017-08-17 00:00:13,640,194,244,1078
2017-08-18 00:01:41,644,189,259,1092
2017-08-19 00:03:07,635,194,241,1070
2017-08-20 00:00:56,620,192,266,1078
2017-08-21 00:03:52,617,193,266,1076
2017-08-22 00:05:15,614,179,261,1054
2017-08-23 00:14:06,616,200,258,1074
2017-08-24 00:00:21,602,174,264,1040
2017-08-25 00:00:22,656,185,255,1096
2017-08-26 00:03:47,622,197,246,1065
2017-08-27 00:01:08,681,186,242,1109
2017-08-28 00:01:51,671,199,254,1124
2017-08-29 00:00:03,681,186,260,1127
2017-08-30 00:02:58,684,195,244,1123
2017-08-31 00:00:47,666,191,255,1112
2017-09-01 00:07:10,625,193,253,1071
2017-09-02 00:00:04,637,182,267,1086
2017-09-03 00:02:01,645,191,264,1100
2017-09-04 00:00:58,623,199,252,1074
2017-09-05 00:00:17,671,193,258,1122
2017-09-06 00:00:16,685,184,254,1123
2017-09-07 00:00:03,670,195,265,1130
2017-09-08 00:00:05,673,190,268,1131
2017-09-09 00:00:18,687,187,257,1131
2017-09-10 00:02:40,675,192,254,1121
2017-09-11 00:00:10,677,193,252,1122
2017-09-12 00:00:39,688,188,257,1133
2017-09-13 00:02:03,686,203,257,1146
2017-09-14 00:03:00,672,179,262,1113
2017-09-15 00:01:02,674,186,267,1127
2017-09-16 00:02:04,692,194,262,1148
2017-09-17 00:00:15,708,185,258,1151
2017-09-18 00:01:33,701,194,243,1138
2017-09-19 00:00:05,703,183,259,1145
2017-09-20 00:01:47,681,198,238,1117
2017-09-21 00:00:32,666,185,278,1129
2017-09-22 00:00:16,676,195,258,1129
2017-09-23 00:00:28,686,193,260,1139
2017-09-24 00:00:20,708,197,252,1157
2017-09-25 00:00:08,697,184,250,1131
2017-09-26 00:09:38,703,196,251,1150
2017-09-27 00:05:35,672,181,243,1096
2017-09-28 00:03:56,670,189,252,1111
2017-09-29 00:08:13,662,190,244,1096
2017-09-30 00:01:19,665,187,268,1120
2017-10-01 00:03:11,667,192,260,1119
2017-10-02 00:01:16,681,196,254,1131
2017-10-03 00:02:46,695,178,253,1126
2017-10-04 00:01:46,696,186,239,1121
2017-10-05 00:02:16,697,195,265,1157
2017-10-06 00:01:19,684,177,262,1123
2017-10-07 00:01:07,686,187,261,1134
2017-10-08 00:01:43,685,191,251,1127
2017-10-09 00:01:16,690,193,262,1145
2017-10-10 00:00:28,711,191,251,1153
2017-10-11 00:01:35,706,198,212,1116
2017-10-12 00:00:15,712,177,257,1146
2017-10-13 00:00:43,695,192,280,1167
2017-10-14 00:05:14,694,198,243,1135
2017-10-15 00:00:00,708,187,236,1131
2017-10-16 00:01:43,710,189,254,1153
2017-10-17 00:05:04,728,193,247,1168
2017-10-18 00:00:49,727,187,225,1139
2017-10-19 00:01:58,714,181,246,1141
2017-10-20 00:00:42,715,190,250,1155
2017-10-21 00:00:49,721,186,258,1165
2017-10-22 00:00:25,734,184,254,1172
2017-10-23 00:00:31,726,191,255,1172
2017-10-24 00:01:20,747,191,268,1206
2017-10-25 00:00:31,739,191,249,1179
2017-10-26 00:05:34,730,212,261,1203
2017-10-27 00:00:58,737,185,263,1185
2017-10-28 00:01:52,712,183,241,1136
2017-10-29 00:01:22,759,191,255,1205
2017-10-30 00:00:55,761,196,236,1193
2017-10-31 00:00:22,736,180,263,1179
2017-11-01 00:03:37,719,186,247,1152
2017-11-02 00:00:46,722,184,251,1157
2017-11-03 00:03:40,704,185,253,1142
2017-11-04 00:01:10,704,196,241,1141
2017-11-05 00:03:16,707,186,238,1131
2017-11-06 00:00:46,728,192,262,1182
2017-11-07 00:00:07,706,194,263,1163
2017-11-08 00:01:02,691,181,273,1145
2017-11-09 00:01:56,704,177,269,1150
2017-11-10 00:01:49,724,187,276,1187
2017-11-11 00:01:06,707,189,254,1150
2017-11-12 00:00:51,728,196,261,1185
2017-11-13 00:00:27,704,177,250,1131
2017-11-14 00:04:00,709,193,271,1173
2017-11-15 00:00:19,693,215,324,1232
2017-11-16 00:01:00,721,181,295,1197
2017-11-17 00:00:51,683,191,243,1117
2017-11-18 00:05:22,706,195,253,1154
2017-11-19 00:04:40,705,185,261,1151
2017-11-20 00:00:34,717,173,263,1153
2017-11-21 00:04:45,713,190,258,1161
2017-11-22 00:00:56,706,189,251,1146
2017-11-23 00:01:42,731,189,253,1173
2017-11-24 00:06:25,712,183,249,1144
2017-11-25 00:00:31,742,188,261,1191
2017-11-26 00:00:40,682,186,265,1133
2017-11-27 00:06:26,717,192,239,1148
2017-11-28 00:00:05,737,185,250,1172
